,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
20,-2.0611423678928986e-10,4.3655745685100555e-11,1.4551915228366852e-11,1.8189894035458565e-11,9.458744898438454e-11,-6.093614501878619e-11,3727.3184718057146,-7.275957614183426e-11,4.3655745685100555e-11,4.0472514228895307e-11,1.4551915228366852e-11,-2.864908310584724e-11,-5.253220081158361e-11,2.000888343900442e-11,36282.79703267794,-5.4569682106375694e-11,7.275957614183426e-11,30870.236397764296,-2.1827872842550278e-11,47111.054272923335,5.093170329928398e-11,326910.48430955136,17511.06425165849,92912.2716607475,-2.7610131682735413e-30,45216.32558725504,2.662405555120915e-30,-4.535950205020818e-30,3.944304526105059e-31,-2.9582283945787943e-30,0.0,4502.841217798496,-1.4791141972893971e-30,10910.63636650442,10128.255584815703,3.1554436208840472e-30,16148.89494445464,1.4791141972893971e-30,7.888609052210118e-31,33029.485451270564,1.9721522630525295e-31,2.457486609038113e-31
21,43133.99583006554,-7.858602657506708e-12,2.994759995544882e-11,3.275424376170122e-11,1.3301360013429075e-11,7.275957614183426e-11,9961.935873134902,-1.4915713109076023e-10,-3.1377567211166024e-11,6.275513442233205e-11,2.9103830456733704e-11,-3.29776206342558e-11,-7.275957614183426e-11,-1.8743673280141593e-11,9.276845958083868e-11,-6.866684998385608e-11,-9.094947017729282e-12,48990.16469178138,1.3096723705530167e-10,27748.318598856727,393207.4585084497,-3.751665644813329e-12,44431.72589634779,176322.2541265951,10083.386776534022,21873.46417688294,2.7610131682735413e-30,3.1554436208840472e-30,-1.5037661005775538e-30,4110.943355585527,4.338734978715565e-30,10736.508777009882,-3.0814879110195774e-32,29433.691958973777,24347.68880760062,1.1832913578315177e-30,78148.34845816053,29208.83191083947,8.874685183736383e-31,41173.12631260245,28481.45392276925,-3.774822690998982e-32
22,43982.34476525054,33833.03663390474,8.731149137020111e-11,-5.820766091346741e-11,21424.963417415314,8.003553375601768e-11,8395.224520596468,-6.208011882335995e-11,-4.001776687800884e-11,-2.9103830456733704e-11,2.5835333872237243e-11,-2.546585164964199e-11,-7.275957614183426e-11,-2.0463630789890885e-11,7.912603905424476e-11,1.6007106751203537e-10,1.1641532182693481e-10,38615.87119985896,64765.943227081494,-2.0160584313089203e-10,49513.37659086124,104450.44338090744,0.0,56906.3832508687,125741.48476997841,-2.3665827156630354e-30,-1.9721522630525295e-30,-1.873544649899903e-30,67110.13741203221,45377.833219229404,-6.902532920683853e-31,59381.336686888986,1.4051584874249273e-30,53009.411916248166,18247.799350189216,2.465190328815662e-31,82011.65159793604,43629.32917908608,-2.1693674893577825e-30,3905.23152217646,12442.213410447717,-1.2518544638517033e-31
23,38879.2555719199,6.548361852765083e-11,5.820766091346741e-11,-2.9103830456733704e-11,-1.5575096767861396e-11,-8.637357495899778e-11,12723.222998464835,-4.3655745685100555e-11,-1.0913936421275139e-10,-4.53894699603552e-11,4.3655745685100555e-11,7.275957614183426e-11,-1.4551915228366852e-11,-4.3655745685100555e-11,100724.14668524974,7.003109203651547e-11,4.3655745685100555e-11,13440.909122181154,-5.820766091346741e-11,16623.397526135326,113804.09483905134,179555.63600961084,24651.070973010406,0.0,45081.197092775816,107498.66716525775,15090.592555878064,3.1554436208840472e-30,9396.524441790492,8004.936928822454,-1.2818989709841442e-30,12841.007026659885,-1.5777218104420236e-30,37978.39367766034,12824.421166168815,-1.035379938102578e-30,62034.449798,17235.297046889464,10632.573225032622,48264.11834824418,45534.99143454217,1.7410406697260612e-31
24,-2.9103830456733704e-11,1.1073097994085401e-10,-2.964384293591138e-11,-7.16227077646181e-11,2.114575181622058e-11,-7.275957614183426e-12,-1.418811734765768e-10,-9.458744898438454e-11,2.964783973880003e-11,-1.0186340659856796e-10,-2.9103830456733704e-11,-4.888534022029489e-11,-1.4551915228366852e-11,3.785949331813754e-11,-7.275957614183426e-12,-5.820766091346741e-11,-3.7692959864443765e-11,9749.743596622511,36297.41682207814,7.275957614183426e-11,-1.7962520360015333e-11,15975.450333950927,84743.8445974693,70137.48854916541,-1.7749370367472766e-30,200048.89758278677,27597.66155799644,-2.5637979419682884e-30,85261.34372284531,18504.619845996156,-2.7610131682735413e-30,8083.266792613727,3.4512664603419266e-30,10450.531128611718,-1.5777218104420236e-30,2.9582283945787943e-31,29021.71062619528,-2.9582283945787943e-31,1.6886553752387284e-30,93727.78509145012,47666.4988496368,-1.0014835710813626e-31
25,-5.820766091346741e-11,-8.731149137020111e-11,-5.093170329928398e-11,8.731149137020111e-11,-1.0186340659856796e-10,3.637978807091713e-11,7.275957614183426e-12,-2.2039259306438908e-11,-8.36735125631094e-11,-2.9103830456733704e-11,-9.733325256888747e-11,5.093170329928398e-11,-1.736566446197685e-11,2.516742370062275e-11,79098.37761212987,-1.4210854715202004e-10,-4.001776687800884e-11,2334.8032905845544,-9.094947017729282e-12,20741.418190137152,9469.591451706474,3808.5586362897284,3.2741809263825417e-11,18380.369783742477,21985.308106536846,7.888609052210118e-31,258695.88839557674,-6.310887241768095e-30,2427.1188900076763,-1.3805065841367707e-30,1.5777218104420236e-30,1.0846837446788912e-30,-2.1693674893577825e-30,-9.860761315262648e-31,1211.5119050158871,-1.5777218104420236e-30,7.888609052210118e-31,-1.9721522630525295e-31,-3.944304526105059e-31,62040.43035092055,10771.095392333244,1.0845994852438243e-31
26,2105.4715975753097,-4.3655745685100555e-11,-4.3655745685100555e-11,6.548361852765083e-11,-2.6153301746489888e-11,7.881162389367091e-11,5.4569682106375694e-11,-3.637978807091713e-11,4.001776687800884e-11,4.566658162730164e-11,4.3655745685100555e-11,0.0,-9.458744898438454e-11,-3.637978807091713e-11,47568.92120709201,-4.490798843903576e-10,-4.3655745685100555e-11,1194.4357320161175,0.0,9596.83891568094,2.000888343900442e-11,-9.094947017729282e-12,-5.8014190673638666e-11,1745.4841233599973,2051.762665630823,175003.99827735024,0.0,-3.27870313732483e-30,1.5777218104420236e-30,2.070759876205156e-30,-2.1693674893577825e-30,-1.1832913578315177e-30,-9.860761315262648e-31,4361.011267078372,7159.016402677492,-7.888609052210118e-31,6334.6708035874435,8428.455108836884,10571.088836428467,119471.84526871436,61882.07709491832,2.4960052079258577e-31
27,24674.399375861824,3.637978807091713e-11,-3.456079866737127e-11,-1.0913936421275139e-10,-6.093614501878619e-11,1.8189894035458565e-12,5201.147881123203,1.4551915228366852e-11,-3.424815986363683e-11,-2.9103830456733704e-11,-5.093170329928398e-11,-7.275957614183426e-12,6.366462912410498e-11,1.6370904631912708e-11,3.637978807091713e-11,2.9103830456733704e-11,1.750777300912887e-11,3.794475844642875e-11,-3.5697667044587433e-11,5.820766091346741e-11,-4.547473508864641e-13,6.286082765427636e-13,5.093170329928398e-11,-2.437936544026536e-16,2.3665827156630354e-30,-7.888609052210118e-31,-8.874685183736383e-31,-1.1832913578315177e-30,-2.9582283945787943e-31,2.8103169748498546e-30,-3.3526588471893e-30,2259.9375734871946,-7.888609052210118e-31,50944.73958073549,12137.492360924969,4580.104379991901,47229.27371487937,40559.920899769684,80356.1952826188,7595.302489154035,173241.52089377458,-2.5268200870360534e-31
28,-2.9103830456733704e-11,1.0913936421275139e-11,1.4154011296341196e-10,0.0,2.9103830456733704e-11,49106.162263062,-3.348077370901592e-11,-5.275069270282984e-11,8.003553375601768e-11,39125.65633881759,4.0472514228895307e-11,6.548361852765083e-11,2.284261668705767e-11,0.0,-1.20508047984913e-10,1.1823431123048067e-11,64583.047643070364,-1.127773430198431e-10,145793.17026321695,3.637978807091713e-11,-1.4551915228366852e-11,5.093170329928398e-11,84084.62616920909,27178.213737651797,158507.95534491743,41057.59887681409,-3.944304526105059e-30,0.0,-2.7610131682735413e-30,130703.89456825408,40648.41229613378,9526.014342431405,-7.888609052210118e-31,23193.51607906783,18863.465220915594,5.423418723394456e-31,50756.24323323274,-1.4791141972893971e-30,9.860761315262648e-31,58752.244765295625,55441.42357731086,0.0
29,5.4797055781818926e-11,2.5011104298755527e-12,-9.413270163349807e-11,-9.663381206337363e-11,5.231370892033738e-13,71662.79174824523,2.2964741219766438e-11,1.0186340659856796e-10,-3.637978807091713e-11,2.773958840407431e-11,-2.9103830456733704e-11,1.1104361874458846e-10,-8.731149137020111e-11,-8.58335624798201e-12,0.0,-6.622258297284134e-12,113329.94017801822,0.0,174455.5218514234,1.0550138540565968e-10,4.18367562815547e-11,12347.00110813376,57975.785879568575,23609.456878416564,35079.50678837655,-1.0846837446788912e-30,-7.395570986446986e-32,3.944304526105059e-30,133279.3753170279,1.9721522630525295e-30,307397.9460995396,86443.8094475288,-1.3805065841367707e-30,17062.85440468886,-9.860761315262648e-31,-1.072357793034813e-30,34533.064646342,2.1693674893577825e-30,-9.860761315262648e-31,22747.310431364767,25904.57936437577,-3.851859888774472e-34
30,8.003553375601768e-11,-4.3655745685100555e-11,7.639755494892597e-11,-2.9103830456733704e-11,3.637978807091713e-12,8.731149137020111e-11,-3.956301952712238e-11,-5.3660187404602766e-11,-3.54702933691442e-11,18689.899997344877,-8.833467290969566e-11,-8.003553375601768e-11,-2.9103830456733704e-11,3.637978807091713e-12,5.820766091346741e-11,5.820766091346741e-11,191667.38613180665,-4.189359970041551e-11,148961.9782481827,-2.1901591651385388e-10,3.4923619551818774e-11,9.094947017729282e-12,-4.3655745685100555e-11,1.3993127152735196e-16,3.8456969129524326e-30,7.888609052210118e-31,-3.549874073494553e-30,4.437342591868191e-31,34793.9596234205,258039.8670522645,-4.930380657631324e-30,104867.06006706519,1.1832913578315177e-30,3.944304526105059e-31,2.465190328815662e-30,-1.1832913578315177e-30,-4.930380657631324e-31,9.860761315262648e-32,0.0,-1.3312027775604574e-30,1.3805065841367707e-30,7.703719777548943e-34
